Experimental data of parametric heating.
23-10-12 12:52:29
Initial Modulation frequency [MHz]: 1
End Modulation frequency [MHz]: 2
Modulation Vpp [V]: 0.01
369-nm Laser frequency [THz]: 811.291280
Trap RF frequency [MHz]: 32.424
Exposure time [ms]: 1
Average number: 100
==============================================
frequency[MHz],Photon counts
1.0,1.0
1.15,1.0
1.3,1.0
1.45,1.0
1.6,1.0
1.75,1.0
1.9,1.0
2.05,1.0
